Country,Cases,Deaths,Recovered
USA,"82,649,779","1,018,316","80,434,925"
India,"43,057,545","522,193","42,519,479"
Brazil,"30,345,654","662,663","29,364,400"
France,"28,244,977","145,020","25,852,832"
Germany,"24,109,433","134,624","21,243,000"
UK,"21,933,206","173,352","20,782,350"
Russia,"18,137,137","374,902","17,474,628"
S. Korea,"16,895,194","22,133",N/A
Italy,"16,079,209","162,609","14,684,371"
Turkey,"15,016,270","98,676","14,854,475"
Spain,"11,786,036","103,908","11,261,340"
Vietnam,"10,563,502","43,013","9,086,075"
Argentina,"9,060,923","128,344","8,895,999"
Netherlands,"8,035,603","22,206","7,643,520"
Japan,"7,621,562","29,284","7,135,403"
Iran,"7,216,040","140,975","6,966,954"
Colombia,"6,091,094","139,771","5,924,433"
Indonesia,"6,043,768","156,067","5,868,251"
Poland,"5,991,197","115,948","5,334,375"
Mexico,"5,733,514","324,117","5,033,892"
Australia,"5,689,377","6,991","5,274,197"
Ukraine,"4,997,224","108,306",N/A
Malaysia,"4,427,067","35,491","4,310,599"
Thailand,"4,165,874","27,778","3,954,945"
Austria,"4,104,859","18,047","3,989,860"
Israel,"4,054,342","10,658","4,009,152"
Belgium,"4,015,791","31,319","3,726,457"
Czechia,"3,895,544","40,081","3,838,099"
Portugal,"3,791,744","22,162",N/A
South Africa,"3,759,689","100,298","3,632,572"
Canada,"3,695,585","38,777","3,426,082"
Philippines,"3,684,500","60,182","3,610,658"
Switzerland,"3,579,867","13,816","3,378,507"
Peru,"3,559,343","212,724",N/A
Chile,"3,544,463","57,375","3,368,772"
Greece,"3,277,557","28,867","3,151,717"
Denmark,"2,959,040","6,072","2,929,091"
Romania,"2,888,318","65,427","2,606,660"
Sweden,"2,498,388","18,656","2,464,421"
Iraq,"2,324,141","25,204","2,295,947"
Serbia,"2,001,144","15,953","1,967,786"
Bangladesh,"1,952,532","29,127","1,893,131"
Hungary,"1,890,953","46,048","1,776,617"
Slovakia,"1,774,808","19,839","1,730,712"
Jordan,"1,694,216","14,048","1,678,941"
Georgia,"1,654,255","16,800","1,635,791"
Pakistan,"1,527,856","30,369","1,493,998"
Ireland,"1,509,536","6,996","1,415,949"
Norway,"1,423,509","2,871",N/A
Kazakhstan,"1,305,457","13,660","1,290,988"
Hong Kong,"1,201,431","9,236",N/A
Singapore,"1,180,124","1,325","1,109,387"
Morocco,"1,164,670","16,065","1,148,154"
Bulgaria,"1,152,892","36,849","959,542"
Croatia,"1,117,175","15,778","1,096,829"
Cuba,"1,101,486","8,523","1,091,603"
Lebanon,"1,096,320","10,374","1,079,455"
Lithuania,"1,054,618","9,063","1,016,510"
Tunisia,"1,039,532","28,533",N/A
Slovenia,"1,003,970","6,576","980,501"
Finland,"1,000,472","3,638","46,000"
Nepal,"978,743","11,951","966,523"
Belarus,"977,434","6,922","928,536"
Bolivia,"904,377","21,908","855,123"
UAE,"897,136","2,302","879,787"
Uruguay,"895,775","7,197","886,654"
New Zealand,"884,289",636,"824,272"
Ecuador,"868,053","35,581",N/A
Costa Rica,"847,784","8,383","829,515"
Guatemala,"841,341","17,496","821,185"
Latvia,"817,316","5,743","803,135"
Azerbaijan,"792,476","9,707","782,634"
Panama,"771,486","8,182","759,832"
Saudi Arabia,"753,332","9,076","740,467"
Sri Lanka,"663,131","16,502","642,574"
Paraguay,"649,034","18,795","624,673"
Kuwait,"631,294","2,555","627,899"
Myanmar,"612,733","19,434","591,609"
Palestine,"581,816","5,353","575,899"
Dominican Republic,"578,954","4,376","574,297"
Estonia,"570,257","2,531","507,474"
Bahrain,"565,830","1,475","560,795"
Venezuela,"522,121","5,705","515,305"
Moldova,"516,986","11,489","504,142"
Egypt,"515,645","24,613","442,182"
Libya,"501,862","6,429","490,900"
Cyprus,"470,481","1,011","124,370"
Ethiopia,"470,417","7,510","454,967"
Mongolia,"469,580","2,177","313,256"
Armenia,"422,825","8,622","410,558"
Honduras,"422,275","10,892","131,100"
Oman,"388,995","4,257","384,055"
Bosnia and Herzegovina,"376,699","15,756","192,218"
Réunion,"374,295",742,"355,605"
Qatar,"364,089",677,"362,568"
Kenya,"323,696","5,649","317,909"
Zambia,"318,984","3,974","314,075"
North Macedonia,"309,062","9,271","299,064"
Botswana,"305,859","2,688","303,026"
Albania,"274,791","3,496","270,869"
Algeria,"265,761","6,874","178,344"
Nigeria,"255,685","3,143","249,890"
Zimbabwe,"247,524","5,468","241,362"
Uzbekistan,"238,469","1,637","236,483"
Montenegro,"234,619","2,713","231,297"
Luxembourg,"233,966","1,058","221,501"
Mozambique,"225,358","2,201","223,104"
Laos,"205,975",732,"7,660"
Kyrgyzstan,"200,983","2,991","196,386"
China,"200,654","4,725","166,398"
Iceland,"183,974",112,"75,685"
Maldives,"178,883",298,"163,687"
Afghanistan,"178,689","7,682","161,748"
Uganda,"164,069","3,596","100,205"
El Salvador,"162,089","4,127","150,662"
Ghana,"161,124","1,445","159,655"
Namibia,"158,332","4,023","153,662"
Martinique,"147,519",918,104
Trinidad and Tobago,"144,359","3,812","133,604"
Brunei,"141,014",218,"139,724"
Guadeloupe,"140,130",854,"2,250"
Cambodia,"136,200","3,056","132,896"
Rwanda,"129,764","1,458","45,522"
Jamaica,"129,489","2,943","82,965"
Cameroon,"119,780","1,927","117,791"
Angola,"99,194","1,900","97,149"
Malta,"90,595",688,"84,646"
DRC,"87,023","1,337","50,930"
Senegal,"85,984","1,966","84,001"
Malawi,"85,747","2,633","81,938"
Ivory Coast,"81,887",799,"81,061"
French Guiana,"80,422",394,"11,254"
Suriname,"79,302","1,327","49,396"
Channel Islands,"73,609",166,"72,059"
French Polynesia,"72,648",648,N/A
Eswatini,"70,284","1,397","68,764"
Barbados,"67,256",389,"63,424"
Fiji,"64,524",862,"62,677"
Madagascar,"64,121","1,391","59,370"
Guyana,"63,413","1,228","62,092"
Sudan,"62,093","4,930",N/A
New Caledonia,"60,457",312,"60,064"
Mauritania,"58,683",982,"57,693"
Bhutan,"57,771",20,"53,080"
Belize,"57,419",676,"56,534"
Taiwan,"56,468",856,"23,729"
Cabo Verde,"56,004",401,"55,538"
Syria,"55,795","3,150","52,090"
Gabon,"47,597",303,"47,282"
Papua New Guinea,"43,732",649,"43,025"
Seychelles,"42,079",165,"41,260"
Curaçao,"41,966",273,"41,251"
Andorra,"41,013",153,"40,343"
Burundi,"38,887",38,773
Mauritius,"37,656",990,"35,656"
Mayotte,"37,038",187,"2,964"
Togo,"36,977",273,"36,679"
Guinea,"36,459",440,"35,976"
Faeroe Islands,"34,658",28,"7,693"
Aruba,"34,589",212,"34,251"
Tanzania,"33,864",803,N/A
Bahamas,"33,463",789,"32,310"
Lesotho,"32,910",697,"24,155"
Mali,"30,727",731,"29,795"
Haiti,"30,640",835,"29,389"
Isle of Man,"28,416",87,"26,794"
Benin,"26,952",163,"25,506"
Somalia,"26,485","1,350","13,182"
Congo,"24,079",385,"20,178"
Saint Lucia,"23,239",368,"22,736"
Timor-Leste,"22,860",130,"22,714"
Cayman Islands,"21,755",26,"8,553"
Burkina Faso,"20,853",382,"20,439"
Nicaragua,"18,491",225,"4,225"
Gibraltar,"17,706",102,"16,579"
South Sudan,"17,422",138,"13,514"
Tajikistan,"17,388",124,"17,264"
Liechtenstein,"17,103",85,"16,831"
San Marino,"16,140",114,"15,662"
Equatorial Guinea,"15,907",183,"15,698"
Djibouti,"15,611",189,"15,411"
CAR,"14,649",113,"6,859"
Grenada,"14,428",220,"13,945"
Bermuda,"13,143",131,"12,719"
Solomon Islands,"12,437",139,"11,194"
Dominica,"12,011",63,"11,926"
Gambia,"11,995",365,"11,591"
Greenland,"11,971",21,"2,761"
Yemen,"11,818","2,148","9,001"
Monaco,"11,604",54,"11,362"
Saint Martin,"10,279",63,"1,399"
Sint Maarten,"9,990",86,"9,841"
Eritrea,"9,733",103,"9,629"
Caribbean Netherlands,"9,592",34,"9,392"
Tonga,"9,553",11,"8,306"
Niger,"8,914",309,"8,507"
Guinea-Bissau,"8,185",171,"7,515"
Comoros,"8,100",160,"7,933"
Sierra Leone,"7,681",125,N/A
Antigua and Barbuda,"7,571",135,"7,402"
Liberia,"7,432",294,"5,747"
Chad,"7,396",193,"4,874"
Samoa,"7,185",13,"1,605"
Vanuatu,"6,793",12,"5,991"
St. Vincent Grenadines,"6,779",106,"6,641"
British Virgin Islands,"6,296",62,N/A
Sao Tome and Principe,"5,953",73,"5,875"
Turks and Caicos,"5,941",36,"5,862"
Saint Kitts and Nevis,"5,561",43,"5,517"
Cook Islands,"4,727",0,"3,990"
St. Barth,"4,432",6,N/A
Palau,"4,396",6,"3,879"
Kiribati,"3,076",13,"2,597"
Anguilla,"2,731",9,"2,716"
Saint Pierre Miquelon,"2,641",1,"2,449"
Diamond Princess,712,13,699
Wallis and Futuna,454,7,438
Montserrat,183,2,174
Falkland Islands,128,0,N/A
Macao,82,0,82
Vatican City,29,0,29
Marshall Islands,15,0,7
Western Sahara,10,1,9
MS Zaandam,9,2,7
Niue,8,0,7
Nauru,3,0,3
Saint Helena,2,0,2
Micronesia,1,0,1
